index,time_ms,ok,n_pre_bins,fp_delay_ns,fp_idx,P_signal,P_interf_mean,P_interf_max,sir_db,sir_peak_db,prepath_floor_db,fcs_pass
52,262.379698,1,14,1.001603,17,3.944512e-01,2.776381e-04,1.664859e-03,31.5251,23.7462,-31.5251,0
53,267.244063,1,14,1.001603,17,2.689816e-01,1.289052e-06,4.868161e-06,53.1945,47.4236,-53.1945,1
54,272.379698,1,14,1.001603,17,2.207958e-01,1.303733e-06,5.047539e-06,52.2880,46.4091,-52.2880,1
55,277.244063,1,14,1.001603,17,3.489556e-01,2.027730e-04,4.906257e-04,32.3576,28.5202,-32.3576,1
56,282.244065,1,14,1.001603,17,4.010846e-01,1.614890e-04,1.023671e-03,33.9509,25.9308,-33.9509,0
57,287.515332,1,14,1.001603,17,2.623735e-01,1.245093e-06,4.912536e-06,53.2372,47.2761,-53.2372,1
58,292.379698,1,14,1.001603,17,3.858169e-01,1.241673e-05,1.331579e-04,44.9237,34.6201,-44.9237,1
59,297.515332,1,14,1.001603,17,3.406846e-01,4.929371e-06,1.277915e-05,48.3956,44.2585,-48.3956,1
60,302.379697,1,14,1.001603,17,2.091353e-01,6.186794e-06,2.006340e-05,45.2896,40.1802,-45.2896,1
61,307.379697,1,14,1.001603,17,2.560804e-01,1.153275e-06,4.636824e-06,53.4644,47.4216,-53.4644,1
62,312.379698,1,14,1.001603,17,3.016397e-01,3.598774e-06,1.302113e-05,49.2333,43.6484,-49.2333,1
63,317.379698,1,14,1.001603,17,3.408356e-01,2.086502e-04,5.268231e-04,32.1313,28.1088,-32.1313,1
64,322.515332,1,14,1.001603,17,2.970054e-01,1.031160e-04,2.108498e-04,34.5944,31.4879,-34.5944,0
65,327.244063,1,14,1.001603,17,2.519156e-01,1.235411e-06,5.503131e-06,53.0944,46.6065,-53.0944,1
66,332.379698,1,14,1.001603,17,2.075119e-01,2.077182e-05,1.712589e-04,39.9957,30.8339,-39.9957,1
67,337.244063,1,14,1.001603,17,3.443274e-01,1.927855e-04,5.533393e-04,32.5190,27.9398,-32.5190,0
68,342.244065,1,14,1.001603,17,3.774704e-01,4.633057e-06,4.687449e-05,49.1102,39.0595,-49.1102,1
69,347.515332,1,14,1.001603,17,2.495482e-01,1.113348e-06,4.248955e-06,53.5052,47.6887,-53.5052,1
70,352.379697,1,14,1.001603,17,3.663170e-01,6.423461e-05,2.013340e-04,37.5609,32.5994,-37.5609,1
71,357.515332,1,14,1.001603,17,3.337761e-01,2.333919e-04,4.715358e-04,31.5537,28.4994,-31.5537,1
72,362.379697,1,14,1.001603,17,2.004968e-01,1.222836e-06,6.390649e-06,52.1474,44.9656,-52.1474,1
73,367.379698,1,14,1.001603,17,2.470281e-01,1.196887e-06,5.124117e-06,53.1469,46.8313,-53.1469,1
74,372.379698,1,14,1.001603,17,2.934856e-01,1.147863e-04,4.197208e-04,34.0770,28.4463,-34.0770,1
75,382.379697,1,14,1.001603,17,3.726570e-01,3.659141e-06,3.687802e-05,50.0793,40.0454,-50.0793,1
76,387.515331,1,14,1.001603,17,3.341110e-01,1.882242e-06,9.722156e-06,52.4922,45.3613,-52.4922,1
77,392.379698,1,14,1.001603,17,1.854085e-01,1.983413e-04,5.111305e-04,29.7072,25.5960,-29.7072,1
78,397.244065,1,14,1.001603,17,3.309743e-01,3.166116e-05,2.477606e-04,40.1927,31.2576,-40.1927,0
79,402.244063,1,14,1.001603,17,3.692275e-01,3.451480e-06,3.317278e-05,50.2929,40.4651,-50.2929,1
