index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
1,1,108989,108989,227565,0.987359027322978,0.97470772551142,-0.12,-1675.75561857836,99.412543489859-4413.11089698126i,0.855895239212527-0.00588851881945474i,0.872593024011217-0.0314129146414084i,14.6175855896699,0,1,
2,1,487459,487459,227565,0.986670376318761,0.915809423172934,0.36,-1651.8125964175,1051.60134587766+4381.85580099018i,0.849345824210776-0.0233611607959332i,0.873621863582672-0.0271325799096309i,14.219921261321,0,1,
3,1,865930,865930,227565,0.98684657670353,0.962532728468526,-0.2,-1664.70639357724,-1913.57033095988-4015.87297508743i,0.856172754069827-0.0157456848049064i,0.870702466560801-0.0391648027721526i,14.5506940533174,0,1,
4,1,1244401,1244401,227565,0.986591547472387,0.933666115702273,-0.31,-1683.5786033045,3188.51548068825+3165.14289539468i,0.851479760170068-0.0144017743344544i,0.874781171274295-0.0139196853081104i,14.3303289683517,0,1,
5,1,1622871,1622871,227565,0.987787230393431,0.968334758440188,0.17,-1678.35057936096,-3735.3942102532-2393.52208713313i,0.853044303556406+0.00328051174543559i,0.878469413489726-0.0270756320274582i,14.5231151772248,0,1,
6,1,2001342,2001342,227565,0.985768007694831,0.905735357974014,-0.38,-1681.78622585552,4216.06970156914+1607.62414785584i,0.850339072261555-0.00577496734842775i,0.867288631059585-0.0342418204369524i,14.2147013062555,0,1,
7,1,2379812,2379812,227565,0.987805064971353,0.978629368691573,-0.11,-1656.98799634509,-4329.35227276983-869.717183286997i,0.857176767077669-0.0364290661604537i,0.878188003119929-0.0314028567069429i,14.6720508389215,0,1,
8,1,2758282,2758282,227565,0.986422394277026,0.949578440399859,0.25,-1659.47505330465,4464.04760632596+199.783213867583i,0.8518867850801-0.00984799596289037i,0.869249909842755-0.0342890409601291i,14.4047284629096,0,1,
9,1,3136753,3136754,227565,0.980801264106902,0.898893077389904,-0.4,-1643.61664468217,-3930.61729868913+2136.12259885308i,0.837054802605834-0.041193554328304i,0.859771409723768-0.0395488250005537i,13.1764780373697,0,1,
10,1,3515224,3515224,227565,0.98728424607124,0.977445808410299,-0.0999999999999999,-1683.91695325937,3392.97633242984-2822.89192927463i,0.857417190465849-0.00276783373965588i,0.881828124077413-0.0217192638064594i,14.6645453909909,0,1,
11,1,3893694,3893694,227565,0.987714371189917,0.981525835283909,0.0599999999999999,-1650.72542809682,-3202.05741528287+3023.66239388744i,0.855678607270334-0.00814217361134956i,0.871266980154968-0.0392343805965681i,14.6027470117956,0,1,
12,1,4272165,4272165,227565,0.985793287145293,0.85858447450227,-0.48,-1660.7958771211,2503.79595153924-3772.5214499402i,0.849398499426085-0.0324376466514676i,0.871969232910691-0.0282913664586944i,14.1961796539444,0,1,
13,1,4650635,4650635,227565,0.987401342973151,0.982417865374156,0,-1648.88015993569,-1538.96987012984+4123.57071467501i,0.857893295217355-0.0447060557618379i,0.879596337058545-0.0605922776379543i,14.7960325326672,0,1,
14,1,5029105,5029105,227565,0.985691336459775,0.877979589601657,0.44,-1644.50069370225,722.748243486282-4464.39383895116i,0.846718518170151-0.024485441250575i,0.864696483401641-0.0438545982737636i,14.0341634956217,0,1,
