index,time_start_ms,time_end_ms,sfd,sfd_corr,psdu,fcs,recovered
78,177.814594,177.999410,"IEEE 802.15.4z SFD #2",0.8703,14,1,1
79,178.085863,178.270679,"IEEE 802.15.4z SFD #2",0.8703,14,1,1
80,178.357129,178.541945,"IEEE 802.15.4z SFD #2",0.8703,14,1,1
81,182.426139,182.610955,"IEEE 802.15.4z SFD #2",0.8468,14,1,1
82,182.697408,182.882224,"IEEE 802.15.4z SFD #2",0.8469,14,1,1
83,182.968675,183.153493,"IEEE 802.15.4z SFD #2",0.8351,14,1,1
84,183.239941,183.424757,"IEEE 802.15.4z SFD #2",0.8468,14,1,1
85,187.308953,187.493769,"IEEE 802.15.4z SFD #2",0.8385,14,1,1
86,187.851487,188.036301,"IEEE 802.15.4z SFD #2",0.5970,14,0,1
87,188.122755,188.307571,"IEEE 802.15.4z SFD #2",0.8385,14,1,1
88,192.191766,192.376581,"IEEE 802.15.4z SFD #2",0.8685,14,1,1
89,192.463033,192.647850,"IEEE 802.15.4z SFD #2",0.8578,14,1,1
90,193.005568,193.190384,"IEEE 802.15.4z SFD #2",0.8685,14,1,1
91,193.276835,193.461652,"IEEE 802.15.4z SFD #2",0.8578,14,1,1
92,197.345846,197.530661,"IEEE 802.15.4z SFD #2",0.8478,14,1,1
93,197.617113,197.801929,"IEEE 802.15.4z SFD #2",0.8478,14,1,1
94,197.888380,198.073196,"IEEE 802.15.4z SFD #2",0.8478,14,1,1
95,198.159648,198.344463,"IEEE 802.15.4z SFD #2",0.8478,14,1,1
96,202.228657,202.413472,"IEEE 802.15.4z SFD #2",0.8499,14,1,1
97,202.499925,202.684741,"IEEE 802.15.4z SFD #2",0.8499,14,1,1
98,202.771193,202.956010,"IEEE 802.15.4z SFD #2",0.8411,14,1,1
99,203.042459,203.227275,"IEEE 802.15.4z SFD #2",0.8499,14,1,1
100,203.313727,203.498543,"IEEE 802.15.4z SFD #2",0.8499,14,1,1
101,207.654004,207.838820,"IEEE 802.15.4z SFD #2",0.8474,14,1,1
102,212.265550,212.450368,"IEEE 802.15.4z SFD #2",0.8206,14,0,1
103,212.536816,212.721632,"IEEE 802.15.4z SFD #2",0.8432,14,0,1
104,212.808084,212.992900,"IEEE 802.15.4z SFD #2",0.8414,14,0,1
105,213.079352,213.264170,"IEEE 802.15.4z SFD #2",0.8206,14,0,1
106,213.350620,213.535436,"IEEE 802.15.4z SFD #2",0.8432,14,0,1
107,217.419629,217.604445,"IEEE 802.15.4z SFD #2",0.8611,14,1,1
108,217.690896,217.875712,"IEEE 802.15.4z SFD #2",0.8611,14,1,1
109,217.962164,218.146979,"IEEE 802.15.4z SFD #2",0.8611,14,1,1
110,218.233431,218.418247,"IEEE 802.15.4z SFD #2",0.8611,14,1,1
111,222.302441,222.487257,"IEEE 802.15.4z SFD #2",0.8521,14,1,1
112,222.573710,222.758527,"IEEE 802.15.4z SFD #2",0.8376,14,1,1
113,222.844976,223.029792,"IEEE 802.15.4z SFD #2",0.8532,14,1,1
114,223.116243,223.301059,"IEEE 802.15.4z SFD #2",0.8521,14,1,1
115,227.456523,227.641338,"IEEE 802.15.4z SFD #2",0.8495,14,1,1
116,227.727790,227.912606,"IEEE 802.15.4z SFD #2",0.8475,14,1,1
117,227.999057,228.183873,"IEEE 802.15.4z SFD #2",0.8495,14,1,1
118,228.270325,228.455141,"IEEE 802.15.4z SFD #2",0.8495,14,1,1
119,233.321327,233.507334,"IEEE 802.15.4z SFD #2",0.8572,14,1,0
120,237.199623,237.384439,"IEEE 802.15.4z SFD #2",0.8372,14,1,1
121,237.470892,237.655707,"IEEE 802.15.4z SFD #2",0.8372,14,1,1
122,237.742159,237.926976,"IEEE 802.15.4z SFD #2",0.8003,14,0,1
123,238.013425,238.198241,"IEEE 802.15.4z SFD #2",0.8372,14,1,1
124,238.284694,238.469510,"IEEE 802.15.4z SFD #2",0.8372,14,1,1
125,243.249755,243.435758,"IEEE 802.15.4z SFD #2",0.6121,14,0,0
126,247.670584,247.855400,"IEEE 802.15.4z SFD #2",0.8632,14,1,1
127,252.282128,252.466943,"IEEE 802.15.4z SFD #2",0.8681,14,1,1
128,252.553395,252.738211,"IEEE 802.15.4z SFD #2",0.8682,14,1,1
129,252.824664,253.009481,"IEEE 802.15.4z SFD #2",0.8652,14,1,1
130,253.095930,253.280745,"IEEE 802.15.4z SFD #2",0.8681,14,1,1
131,257.436209,257.621025,"IEEE 802.15.4z SFD #2",0.8442,14,1,1
132,257.707476,257.892293,"IEEE 802.15.4z SFD #2",0.8298,14,1,1
133,257.978742,258.163558,"IEEE 802.15.4z SFD #2",0.8442,14,1,1
134,258.250011,258.434827,"IEEE 802.15.4z SFD #2",0.8442,14,1,1
135,262.319021,262.503840,"IEEE 802.15.4z SFD #2",0.6043,14,0,1
136,263.132823,263.317642,"IEEE 802.15.4z SFD #2",0.6043,14,0,1
